Схема в Звит	Область	Форма				
	ST2	П4130_0			ПолеТабличногоДокументаОтчетПоТруду	
	A4010	П4010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4020	П4020_1			ПолеТабличногоДокументаОтчетПоТруду	
	// Показателя соответствующего A4030 в 1С нет					
	A4040	П4040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4050	П4050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4060	П4060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4070	П4070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4080	П4080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4090	П4090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4100	П4100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4110	П4110_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4120	П4120_1			ПолеТабличногоДокументаОтчетПоТруду	
	A4130	П4130_1			ПолеТабличногоДокументаОтчетПоТруду	
	B4050	П4050_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4060	П4060_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4070	П4070_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4080	П4080_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4090	П4090_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4100	П4100_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4120	П4120_2			ПолеТабличногоДокументаОтчетПоТруду	
	B4130	П4130_2			ПолеТабличногоДокументаОтчетПоТруду	
						
	A5010	П5010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5020	П5020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5030	П5030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5040	П5040_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5050	П5050_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5060	П5060_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5070	П5070_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5080	П5080_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5090	П5090_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5100	П5100_1			ПолеТабличногоДокументаОтчетПоТруду	
	A5110	П5110_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST9	П5120_0			ПолеТабличногоДокументаОтчетПоТруду	
	A5120	П5120_1			ПолеТабличногоДокументаОтчетПоТруду	
	ST10	П5130_0			ПолеТабличногоДокументаОтчетПоТруду	
	A5130	П5130_1			ПолеТабличногоДокументаОтчетПоТруду	
						
	A6010	П6010_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6020	П6020_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6030	П6030_1			ПолеТабличногоДокументаОтчетПоТруду	
	A6040	П6040_1			ПолеТабличногоДокументаОтчетПоТруду	
